name,latitude,longitude
"Rolette, ND, US",48.660361,-99.810528
"Cheyenne, WY, US",41.127083,-104.902417
"Des Moines, IA, US",41.541306,-93.825806
"Quincy, WA, US",47.237806,-119.889139
"Frederick, MD, US",39.396972,-77.436639
"Elbert, CO, US",39.292528,-104.50475
"Fairbanks, AK, US",64.805167,-147.500222
"Awarua, NZ",-46.528,168.378
"Cromwell, NZ",-45.059,169.206
"Hinds, NZ",-43.9219,171.89
"Clevedon, NZ",-36.989,175.055
"Te Hana, NZ",-36.237,174.512
"Puwera, NZ",-35.793,174.3
"Conrad, MT, US",48.203306,-111.945278
"Redmond, WA, US",47.694194,-122.032139
"Greenville, PA, US",41.433556,-80.333222
"Merrillan, WI, US",44.406333,-90.814278
"Kalama, WA, US",46.0389722,-122.8082222
"Hawthorne, CA, US",33.9175,-118.328111
"Arbuckle, CA, US",39.057,-122.06
"Beekmantown, NY, US",44.789972,-73.48
"Charleston, OR, US",43.248417,-124.381194
"Panaca, NV, US",37.783639,-114.692694
"Boca Chica, TX, US",25.990694,-97.18275
"McGregor, TX, US",31.404917,-97.438139
"Litchfield, CT, US",41.545028,-73.354028
"Warren, MO, US",38.635167,-91.116028
"Nemaha, NE, US",40.333667,-95.815278
"Manistique, MI, US",45.908611,-86.483583
"Slope County, ND, US",46.408389,-103.114583
"Los Angeles, CA, US",34.604028,-117.454361
"Cass County, ND, US",47.151694,-97.408889
"Sanderson, TX, US",30.194,-102.89
"Springer, OK, US",34.2685,-97.213167
"Hitterdal, MN, US",46.978917,-96.258028
"Tionesta, CA, US",41.644,-121.329972
"Butte, MT, US",45.924056,-112.513194
"Colburn, ID, US",48.34525,-116.439333
"Baxley, GA, US",31.682167,-82.268972
"Robertsdale, AL, US",30.567,-87.646
"Roll, AZ, US",32.8155,-113.798056
"Prosser, WA, US",46.127278,-119.684305
"Vernon, UT, US",40.076222,-112.354722
"Inman, KS, US",38.229,-97.921972
"Evanston, WY, US",41.0925,-110.842611
"Columbus, OH, US",40.061,-82.760778
"Punta Gorda, FL, US",27.019667,-81.762028
"Tracy City, TN, US",35.19725,-85.666
"Kuparuk, AK, US",70.317667,-148.941194
"Gaffney, SC, US",34.985306,-81.733083
"Robbins, CA, US",38.875,-121.707055
"Wise, NC, US",36.470639,-78.173389
"Mandale, NC, US",35.895361,-79.224889
"Dumas, TX, US",35.807972,-102.031861
"Hamshire, TX, US",29.859861,-94.312333
"Marcell, MN, US",47.593167,-93.692528
"Molokai, HI, US",21.109333,-157.063944
"Honolulu, HI, US",21.315,-157.866417
"Lockport, NY, US",43.166556,-78.755111
"Hillman, MI, US",45.07325,-83.900417
"Lawrence, KS, US",39.013889,-95.149389
"Norcross, GA, US",33.954972,-84.197972
"Ft Lauderdale, FL, US",26.190861,-80.193083
"Broadview, IL, US",41.854889,-87.858889
"De Leon Springs, FL, US",29.133,-81.286
"St John's, CA",47.5608537,-52.77538796
"Broken Hill, NSW, AU",-31.998258,141.441058
"Toonpan, QLD, AU",-19.518612,146.87364
"Willows, QLD, AU",-23.666677,147.50255
"Pimba, SA, AU",-31.250747,136.801335
"Boorowa, NSW, AU",-34.462093,148.705734
"Wagin, WA, AU",-33.308268,117.343372
"Villenave d’Ornon, FR",44.7809519,-0.5373232
"Goonhilly, GB",50.049545,-5.181232
"Chalfont Grove, GB",51.615474,-0.575755
"Isle of Man, GB",54.13903805555555,-4.4972111111111115
"Frankfurt, DE, DE",50.329917,8.470778
"Ketchikan, AK, US",55.314611,-131.585694
"Punta Arenas, CL",-52.9381,-70.857222
"Noviciado, CL",-33.392703,-70.883119
"Caldera, CL",-27.0197,-70.7878
"Santa Elena, CL",-29.9994,-71.2586
"San Clemente, CHL",-35.556,-71.3568
"Puerto Saavedra, CL",-38.8148,-73.3973
"Puerto Montt, CL",-41.4866,-73.022
"Sullivan, ME, US",44.530972,-68.224
"Aerzen, DE",52.06,9.329
"Merredin, WA, AU",-31.494875,118.27777
"Cataby, WA, AU",-30.848289,115.61951
"Ki Ki, SA, AU",-35.57156,139.81749
"Torrumbarry, VIC, AU",-36.025227,144.50012
"Cobargo, NSW, AU",-36.388611,149.89139
"Bogantungan, QLD, AU",-23.64686,147.29128
"Calrossie, NSW, AUS",-29.057781,150.04001
"Springbrook Creek, NSW, AU",-30.439794,149.683847
"Bulla Bulling, WA, AU",-31.029747,120.81982
"Elfordstown, IE",51.953182,-8.174168
"Ballinspittle, IE",51.644982,-8.588006
"New Braunfels, TX, US",29.784056,-98.050778
"Nome, AK, US",64.503506,-165.4283
"Lunenburg, VT, US",44.412028,-71.731833
"Loring, ME, US",46.914917,-67.919528
"Anakie, VIC, AU",-37.953169,144.328172
"Koonwarra, VIC, AU",-38.51812,145.95145
"Warra, QLD, AU",-26.908108,150.89206
"Saguenay, CA",48.313705,-70.908799
"Marathon, CA",48.72538889,-86.37445278
"Sambro Creek, CA",44.46452778,-63.61308333
"Muallim, TR",40.78877,29.509442
"Wola Krobowska, PL",51.864167,20.921061
"Canyonleigh, NSW, AU",-34.589043,150.18839
"Tea Gardens, NSW, AU",-32.593193,152.1042
"Alfouvar de Cima, PT",38.868565,-9.282082
"Villarejo de Salvanes, ES",40.167603,-3.286857
"Ibi, ES",38.608435,-0.600713
"Lepe, ES",37.25562,-7.213455
"Kaunas, LT",54.879513,23.841886
"Suva (Emergency), FJ",-18.12892,178.468279
"Toa Baja, PR, US",18.431056,-66.192086
"Ponce, PR, US",18.061978,-66.547836
"Apra Heights, GU, US",13.408639,144.679194
"Monterey, MX",25.7702,-100.3019
"Peñuelas, MX",21.731434,-102.27532
"Charcas, MX",23.2262,-100.9792
"El Marques, MX",20.760828,-100.33557
"Villahermosa, MX",18.0411,-92.9326
"Merida, MX",21.0072,-89.6439
"Tapachula, MX",14.7863,-92.3672
"Cabo San Lucas, MX",22.9127,-109.9257
"Mazahua, MX",16.6096,-94.9642
"Llano Grande, MX",19.2589,-99.5811
"Camaçari, BR",-12.748333333333333,-38.2830555555555
"Guarapari, BR",-20.557777777777666,-40.408611111111
"Itaboraí, BR",-22.696666666666665,-42.872777777777664
"João Câmara, BR",-5.546111111111,-35.81694444444433
"Luz, BR",-19.803333333333335,-45.681111111111
"Montes Claros, BR",-16.683611111111,-43.833333333333336
"Mossoró, BR",-5.156944444444333,-37.353611111111
"Passa Quatro, BR",-22.349444444444334,-44.94527777777767
"Porto Alegre, BR",-29.984166666666667,-51.12083333333333
"Presidente Prudente, BR",-22.146111111111,-51.47416666666667
"Rio Negro, BR",-26.088611111111,-49.792777777777665
"Santana de Parnaíba, BR",-23.456388888888835,-46.94222222222216
"São Gonçalo do Amarante, BR",-3.6747222222221665,-39.10277777777767
"Surubim, BR",-7.853611111111,-35.77944444444433
"Uruguaiana, BR",-29.7655555555555,-56.52694444444433
"Manaus, BR",-2.9267388888888335,-59.997816666666665
"Falda del Carmen, AR",-31.522476,-64.46092
"Milano, IT",45.323488,9.187345
"Foggia, IT",41.508211,15.586589
"Marsala, IT",37.796801,12.507249
"Yamaguchi, JP",34.217723,131.555555
"Lekki, NG",6.449455,3.58777
"Bristol (LICENSE PENDING), UK",51.466473,-2.322985
"Morn Hill (LICENSE PENDING), UK",51.060168,-1.263883
"Fawley (LICENSE PENDING), UK",50.823297,-1.337705
"Hoo (LICENSE PENDING), UK",51.419024,0.573512
"Woodwalton (LICENSE PENDING), UK",52.404967,-0.219117
"Wherstead (LICENSE PENDING), UK",52.019224,1.14354
"Caleta, DO",18.454029,-69.661705
"Santiago de los Caballeros, DO",19.481035,-70.72657
"Akita, JP",39.638378,140.064661
"Ajigaura, JP",36.386742,140.613739
"Ishikari, JP",43.173133,141.257923
"Anchorage, AK, US",61.185804,-149.8765
